12:58:50.194 AM Ruch piłki numer 6: Pozycja: x=0,76264, y=400,41169, Przemieszczenie: x=-3,16827, y=1,32677
12:58:50.194 AM Ruch piłki numer 10: Pozycja: x=484,02895, y=72,80799, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.194 AM Ruch piłki numer 9: Pozycja: x=204,34735, y=366,6432, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.194 AM Ruch piłki numer 15: Pozycja: x=265,24937, y=384,84023, Przemieszczenie: x=-0,60298, y=2,07613
12:58:50.194 AM Ruch piłki numer 8: Pozycja: x=118,19002, y=64,47264, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.194 AM Ruch piłki numer 1: Pozycja: x=350,12991, y=457,38657, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.194 AM Ruch piłki numer 4: Pozycja: x=210,58248, y=423,9782, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.197 AM Ruch piłki numer 11: Pozycja: x=60,61928, y=253,94818, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.200 AM Ruch piłki numer 12: Pozycja: x=495,01891, y=395,13011, Przemieszczenie: x=3,90001, y=-3,97302
12:58:50.204 AM Ruch piłki numer 13: Pozycja: x=381,22545, y=477,198, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.212 AM Ruch piłki numer 14: Pozycja: x=77,85805, y=33,12028, Przemieszczenie: x=1,42, y=-3,19995
12:58:50.214 AM Ruch piłki numer 4: Pozycja: x=211,56239, y=425,8669, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.214 AM Ruch piłki numer 9: Pozycja: x=202,28846, y=368,62497, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.214 AM Ruch piłki numer 2: Pozycja: x=3,76563, y=197,91949, Przemieszczenie: x=-3,76439, y=-2,71983
12:58:50.214 AM Ruch piłki numer 8: Pozycja: x=116,47579, y=66,34008, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.214 AM Ruch piłki numer 5: Pozycja: x=332,46584, y=15,93148, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.214 AM Ruch piłki numer 1: Pozycja: x=347,33047, y=456,95919, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.214 AM Ruch piłki numer 7: Pozycja: x=81,65982, y=420,35753, Przemieszczenie: x=-2,35944, y=-0,91191
12:58:50.214 AM Ruch piłki numer 10: Pozycja: x=480,28727, y=69,20686, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.214 AM Ruch piłki numer 3: Pozycja: x=376,71741, y=88,17199, Przemieszczenie: x=-3,98772, y=-2,28419
12:58:50.214 AM Ruch piłki numer 6: Pozycja: x=3,9309, y=401,73846, Przemieszczenie: x=3,16827, y=1,32677
12:58:50.214 AM Ruch piłki numer 15: Pozycja: x=264,64639, y=386,91636, Przemieszczenie: x=-0,60298, y=2,07613
12:58:50.218 AM Ruch piłki numer 11: Pozycja: x=59,68575, y=255,08438, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.221 AM Ruch piłki numer 12: Pozycja: x=498,91892, y=391,15709, Przemieszczenie: x=3,90001, y=-3,97302
12:58:50.225 AM Ruch piłki numer 13: Pozycja: x=381,54984, y=477,99047, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.233 AM Ruch piłki numer 14: Pozycja: x=79,27805, y=29,92034, Przemieszczenie: x=1,42, y=-3,19995
12:58:50.235 AM Ruch piłki numer 4: Pozycja: x=212,5423, y=427,75559, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.235 AM Ruch piłki numer 2: Pozycja: x=0,00124, y=195,19966, Przemieszczenie: x=-3,76439, y=-2,71983
12:58:50.235 AM Ruch piłki numer 7: Pozycja: x=79,30038, y=419,44562, Przemieszczenie: x=-2,35944, y=-0,91191
12:58:50.235 AM Ruch piłki numer 6: Pozycja: x=7,09917, y=403,06522, Przemieszczenie: x=3,16827, y=1,32677
12:58:50.235 AM Ruch piłki numer 8: Pozycja: x=114,76157, y=68,20751, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.235 AM Ruch piłki numer 3: Pozycja: x=372,7297, y=85,88779, Przemieszczenie: x=-3,98772, y=-2,28419
12:58:50.235 AM Ruch piłki numer 10: Pozycja: x=476,54558, y=65,60573, Przemieszczenie: x=-3,74168, y=-3,60113
12:58:50.235 AM Ruch piłki numer 15: Pozycja: x=264,04341, y=388,9925, Przemieszczenie: x=-0,60298, y=2,07613
12:58:50.235 AM Ruch piłki numer 5: Pozycja: x=334,69532, y=13,66219, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.235 AM Ruch piłki numer 1: Pozycja: x=344,53103, y=456,53181, Przemieszczenie: x=-2,79944, y=-0,42738
12:58:50.235 AM Ruch piłki numer 9: Pozycja: x=200,22957, y=370,60674, Przemieszczenie: x=-2,05889, y=1,98177
12:58:50.239 AM Ruch piłki numer 11: Pozycja: x=58,75221, y=256,22058, Przemieszczenie: x=-0,93354, y=1,1362
12:58:50.242 AM Ruch piłki numer 12: Pozycja: x=495,01891, y=387,18407, Przemieszczenie: x=-3,90001, y=-3,97302
12:58:50.246 AM Ruch piłki numer 13: Pozycja: x=381,87422, y=478,78294, Przemieszczenie: x=0,32438, y=0,79247
12:58:50.271 AM Ruch piłki numer 5: Pozycja: x=336,9248, y=11,3929, Przemieszczenie: x=2,22948, y=-2,26929
12:58:50.271 AM Ruch piłki numer 4: Pozycja: x=213,52221, y=429,64429, Przemieszczenie: x=0,97991, y=1,8887
12:58:50.271 AM Ruch piłki numer 8: Pozycja: x=113,04734, y=70,07495, Przemieszczenie: x=-1,71423, y=1,86744
12:58:50.271 AM Ruch piłki numer 2: Pozycja: x=3,76563, y=192,47984, Przemieszczenie: x=3,76439, y=-2,71983
12:58:50.271 AM Ruch piłki numer 1: Pozycja: x=341,73159, y=456,10443, Przemieszczenie: x=-2,79944, y=-0,42738
